id,aasta,voor,tase,number,pealkiri,raskus,kategooria,tüüp,alamteema,autor,statement_tex,vihje_tex,lahendus_tex,lahendusvotted,katsevahendid,punktid,lahendusseis,allikas,allikas_failitee,allikas_kaust
2022-v3g-ge1,2022,lõppvoor,G,E1,Must kast,4,elektriahelad,E,,Eero Uustalu,"Leida võimalikult täpselt mustas kastis olevate takistite $R_1$ ja $R_2$
väärtused!

\begin{center}
\includegraphics[width=0.45\linewidth]{2022-v3g-ge1-yl.png}
\end{center}

\textit{Vihje:} dioodi läbiv vool sõltub rakendatud pingest mittelineaarselt,
kusjuures vastupinge rakendamisel (st siis, kui vool peaks liikuma noolele
vastassuunas) on voolutugevus tühiselt väike.

\textbf{NB!} Mitte ühendada dioodi otse patarei klemmidele, selle tulemusel
hävineb diood või põleb sisse patareipesa.",,"Ühendame dioodi ja tuntud takisti järjestikku musta kastiga nii, et pluss-klemm on sinise juhtme küljes. Mõõdame pinge dioodil Ud, pinge takistil Ut ning pinge mustal kastil Um. Voolutugevus ahelas $I_1$ = Ut/R läheb läbi takisti $R_1$ ning pinge selle takistil leiame kui musta kasti pinge ning dioodi pinge vahe ($R_1$ juures olev diood ning eraldiolev diood ja neid läbivad voolud on ühesugused, seega on ühesugused ka nende pinged): UR1 = Um $-$ Ud, millest $R_1$ = (Um $-$ Ud)/$I_1$ = (Um $-$ Ud)R/Ut. Analoogselt leiame takisti $R_2$ väärtuse pöörates patarei vastupidi: $R_2$ = (Vm $-$ Vd)/$I_2$ = (Vm $-$ Vd)R/Vt, kus Vm, Vd ja Vt tähistavad vastavaid pingeid uues olukorras.",,"must kast, millest on välja toodud sinine ja kollane juhe ning mille sees on kaks dioodi ja takistit ühendatud nii, nagu on näidatud juuresoleval skeemil; patarei; multimeeter; samasugune diood nagu mustas kastis, mis on kokku ühendatud takistiga takistusega ligikaudu $R = \SI{2,43}{k\ohm}$. Takisti ja dioodi vabade otste külge on ühendamise hõlbustamiseks külge joodetud juhtmejupid ning takisti ja dioodi ühenduskoha külge on võimalik kinnitada juhe või krokodill",12,toores,"Eksperimendi kogu Ü159, lahendus lk 119",physics-collection/problems-exp/2022-v3g-ge1.tex,problems-exp
2022-v3g-ge2,2022,lõppvoor,G,E2,Pingpong,5,dünaamika,E,,Jaan Kalda,Leidke pingpongi palli ja puitjoonlaua vaheline hõõrdetegur.,,"Ehitame puitjoonlauast kaldpinna toetades ühe otsa vastu lauapinda ja kergitades

teist käega. Hoiame samal ajal samas käes vertikaalselt plastjoonlauda niimoodi,

et saame selle abil mõõta puitjoonlaua otsa kõrgust h lauapinnast. Seda kõrgust

kasutame selleks, et teha kindlaks kaldpinna nurga $\alpha$ = arcsin h/L, kus L on puit-

joonalua kogupikkus. Leiame sellise joonlaua kaldenurga, mille puhul on võimalik

hoida pingpongi palli kaldpinna peal paigal tõmmates niidist, mis on paralleelne

kaldpinnaga, kusjuures niidi kinnituspunkt on palli puutepunktist diameetri kau-

gusel, vt joonist. Paralleelsuse tagamiseks on mugav kasutada teist pingpongi palli,

mis hoiab niiti samal kaugusel joonlauast. Tasakaalutingimus on, et kolm raken-

datud jõudu --- raskusjõud, hõõrdejõu ja toereaktsiooni resultant (mille siht moo-

dustab nurga $\beta$ = arctan $\mu$ pinnanormaaliga) ja niidi pinge lõikuvad ühes punktis

P. On lihtne näha, et tan $\beta$ = 12 tan $\alpha$, st $\mu$ = 1 tan $\alpha$.

2b

TP a N+Fh b

mg

a",,"kaks pingpongi palli, millest ühe külge on läbi nõelaaugu kinnitatud niit; puitjoonlaud; plastjoonlaud",14,toores,"Eksperimendi kogu Ü181, lahendus lk 143",physics-collection/problems-exp/2022-v3g-ge2.tex,problems-exp
2022-v3g-pe1,2022,lõppvoor,P,E1,Nõguslääts,3,geomeetriline optika,E,,Erkki Tempel,Leidke nõgusläätse fookuskaugus ja kumerusraadius.,,"Asetame läätse millimeeterpaberile. Fookuskauguse mõõtmiseks suuname läätse optilise peateljega paralleelse kiire läätseni ning joonistame millimeeterpaberile murdunud kiire. Kui me suuname läätsele mitu optilise peateljega paralleelset kiirt, siis murdunud kiirte pikendused (joonistame need millimeeterpaberile) kohtuvad fookuses F . Mõõdame millimeeterpaberi abil fookuse F kauguse läätse keskpunktist, mis ongi nõgusläätse fookuskaugus fl.

Kumerusraadiuse leidmiseks talitame samamoodi, kuid märgime millimeeterpaberile läätselt (mis toimub kui nõguspeegel) peegeldunud kiired. Nõguspeegli korral peegli optilise peateljega paralleelsed kiired koonduvad fookuses F . Teades nõguspeegli fookuse F asukohta, saame mõõta fookuskauguse fp. Teades, et kumerusraadius R = 2fp, saame arvutada kumerusraadiuse R.",,"Nõguslääts, millimeeterpaber (A4), laserpointer",12,toores,"Eksperimendi kogu Ü125, lahendus lk 98",physics-collection/problems-exp/2022-v3g-pe1.tex,problems-exp
2022-v3g-pe2,2022,lõppvoor,P,E2,Keha tihedus,1,vedelike mehaanika,E,,Erkki Tempel,"Määrake tundmatu keha tihedus.
\textit{NB:} Joonlaua kasutamine ei ole lubatud.",,"Tiheduse saame leida valemiga $\rho$ = m , kus m on keha mass ning V keha ruumala. V Mõõdame kaaluga tundmatu keha massi m.

Seejärel mõõdame kaaluga vee ja topsi kogumassi M . Kinnitame tundmatu keha

niidi külge ning riputame keha vette hõljuma (keha ripub niidi küljes ning anuma

põhja ei puuduta). Mõõdame nüüd näiva vee (veetase topsis tõusis) ja topsi kogu-

massi M $'$.

Kui keha on vette rippuma pandud, siis mõjub kaalule jõud F $'$ = M g + $\rho$vV g, kus V on keha ruumala, seega M $'$ = M + $\rho$vV.

Avaldame viimasest seosest keha ruumala

M$' -$ M V=

$\rho$v

Teades nüüd keha massi m ja ruumala V , saame leida keha tiheduse

$\rho$ = m = m$\rho$v V M$' -$ M",,"Tundmatu keha, niit, kaal (täpsus $\pm_0$,1 g), plastikust tops veega (200 ml)",12,toores,"Eksperimendi kogu Ü32, lahendus lk 46",physics-collection/problems-exp/2022-v3g-pe2.tex,problems-exp
2022-v2g-ge1,2022,piirkonnavoor,G,E1,Spagett,3,dünaamika,E,,Kaarel Kivisalu,"Hinnake, kui pikk peaks minimaalselt olema spagett, et selle otspunktid kokku pannes moodustuks ringjoon.",,"Lahendus 1: Painutame spagetikõrt võttes mõlemast otsast kahe näpuga kinni ja suurendades otste (täpsemalt: otstest tõmmatud puutujate) vahelist nurka $\alpha$ kuni spagetikõrre murdumiseni ning teeme kindlaks vastava maksimaalse nurga $\alpha$max. Suure spagetiringi raadius on siis R = l/$\alpha$max, kus l on kõrre pikkus.

Märkus: Nurga mõõtmine on eksperimentaalselt suhteliselt keeruline kasutades ainult millimeeterpaberit, kuid trigonomeetriat kasutades siiski võimalik.

Lahendus 2:

Painutame spagetikõrt analoogselt lahendusega 1. Seekord mõõdame vabalt sõr-

mede vahelise spagetikõrre pikkuse l ning kui kaugele spageti keskpunkt maksi-

maalselt jõuab kinnihoidmiskohtasid ühendavast sirgest a. Siis saab kõversuraa-

diuse leida võrrandist 1$-$ a = cos L . Seda võrrandit tuleb lahendada numbriliselt, R 2R kuna vähemalt lihtsat analüütilist lahendust pole.

HIndamine:

Spageti painutamine nii, et avaldatakse näppudega ainult jõumomenti (mitte jõudu) spageti painutamiseks. Sellisel juhul moodustub spagetist ringjoone kaar. (3 p)

Märkus: Rakendades jõudu ei teki spagetis ringjoone kaart. Siiski sobivalt jõudu rakendades on võimalik kirjeldada spageti kuju (sinusoid, kuupparabool vms sõltuvalt jõust ja jõumomendist) ning leida Youngi moodul, mille kaudu saab avaldada ringikujulise spageti raadiuse. Koos piisava matemaatilise kirjeldusega on võimalik ka sellisel juhul saada täispunktid.

Oma valitud meetodi jaoks leitud võrrand raadiuse leidmiseks. (3 p) Tehtud vähemalt 3 mõõtmist (punktide saamiseks vajalik andmepunktide ole-

masolu). (2 p) Iga mõõtmise jaoks välja arvutatud pika spageti raadius. (1 p) Lõppvastus mõistlikus vahemikus keskmisena üksikute mõõtmiste raadiustest.

Ligikaudu 850 mm, see võib varieeruda arvestatavalt kuna spagettide tootjad on erinevad ning esineb ka spagetikõrte vaheline variatsioon. Vastused võiksid olla vahemikus 700 mm kuni 1000 mm (ideaalis peaks iga spagettide tootja jaoks tegema kontrollmõõtmised ja selle järgi määrama sobiliku vahemiku). (1 p)",,"1 tavaline spagett (spageti purunemisel on võimalik juurde saada vähemalt 9 tervet spagetti), millimeeterpaber",10,toores,"Eksperimendi kogu Ü124, lahendus lk 98",physics-collection/problems-exp/2022-v2g-ge1.tex,problems-exp
2022-v2g-ge2,2022,piirkonnavoor,G,E2,Foolium,5,vedelike mehaanika,E,,Jarl Patrick Paide,"Leidke fooliumi pindtihedus (mass pindala kohta). Vee pindpinevustegur $\sigma$ = 0,072 N m$^{-1}$ ja tihedus $\rho$ = 1000 kg m$^{-3}$.
\textit{Vihje:} vedelikupinna kaks mõttelist poolt tõmbavad üksteist jõuga F = $\sigma\ell$, kus $\ell$ on mõttelise eraldusjoone pikkus.",,"Üldine lahendusmeetod: Teeme fooliumist teatud kujuga objekti ning asetame selle vee peale. Tehes sobiliku kujuga objekti ning vajalikud mõõtmised saame leida fooliumi pindtiheduse Üldiselt kehtib vees olevale objektile 3 jõudu: üleslükkejõud, pindpinevusjõud ja raskusjõud. Enamasti on vaja leida ka fooliumi paksus. Selleks tuleb võtta võimalikult suur tükk fooliumit ning voltida/lõigata (voltimiste arv peab olema piisavalt väike, et see ei mõjutaks paksust) seda nii, et võimalikult palju kihte oleks üksteise peal. Kui on suurusjärgus 100 kihti, on võimalik joonlauaga mõõta paksust (küll mitte väga täpselt). Võib olla võimalik ka valides objekti kuju nii, et pindpinevusjõud on palju suurem kui üleslükkejõud. Sellisel juhul ei ole ilmselt vaja leida fooliumi pakusust, mille mõõtmine antud vahenditega on suhteliselt ebatäpne.

Fooliumi pindtihedus sõltub fooliumi paksusest ning on võrdne fooliumi tiheduse ja selle pakuses korrutisega. Fooliumi tihedus on 2700 kg m$^{-3}$. Sõltuvalt fooliumi pakusest on pindtihedus enamasti 20 g m$^{-2}$ kuni 80 g m$^{-2}$ (hindamisel oleks hea tea-

da fooliumi täpset pindtihedust).

Näiduslahendus:

Teeme fooliumist täidetud risttahuka mille alustahk on mõõtmetega a $\times$ b ja kõr-

guse moodustab N fooliumi paksust d. Keha uppumise piirjuhul kehtib võrrand

2(a + b)$\sigma$ + $\rho$v(abN d)g = $\rho$f (abN d)g. Võrrandist saame avaldada fooliumi pindti-

heduse: 2(a + b)$\sigma$ pindtihedus = $\rho$f d = abN g + $\rho$vd.

Hindamine:

Toimiv lahendusidee (kui lahendusidee on vähemtäpne kui ta saaks olla siis anda osa punkte) --- 3 p.

Matemaatiliselt kirjeldatud jõudude tasakaal (osalise kirjelduse puhul anda pindpinevusejõu eest 3 p, üleslükkejõu eest 1 p ja raskusjõu eest 1 p) --- 5 p.

Fooliumi paksuse leidmine võimalikult täpselt (alla 100 kihi mõõtes kuni 1 p) --- 2 p.

Tehtud mõõtmised jõudude tasakaalu jaoks --- 2 p. Saadud õiges suurusjärgus vastus --- 2 p.",,"vesi anumaga, foolium, joonlaud, käärid",14,toores,"Eksperimendi kogu Ü180, lahendus lk 142",physics-collection/problems-exp/2022-v2g-ge2.tex,problems-exp
2022-v2g-pe1,2022,piirkonnavoor,P,E1,Joonlaua mass,1,staatika,E,,Erkki Tempel,Määrake joonlaua mass.,,"Mõõdame A4 paberi pikkuse ja laiuse ning teades paberi pindtihedust, saame leida

A4 paberi massi mp $\approx$ 5 g

Leiame joonlaua masskeskme laua serval.

Asetame kokkuvolditud A4 paberi joonlaua ühe otsa peale ning leiame joonlaua ja

paberi tasakaalupunkti.

Mõõdame paberi keskkoha kauguse toetuspunktist lp ning joonlaua masskeskme

kauguse toetuspunktist lj.

Kasutades kangireeglit, saame tasakaalu jaoks kirjutada seose ning leida joonlaua

massi mj.

mplp = mj lj $\Rightarrow$ mj = mplp lj

Hindamine: Paberi massi leidmine --- 2 p. Joonlaua masskeskme leidmine --- 2 p. Joonlaua tasakaalupunkti leidmine koos paberiga --- 1 p. Tasakaalu seoste avaldamine --- 1 p. Joonlaua massi avaldamine --- 1 p. Jõuõlgade lp ja lj korrektne mõõtmine koos kordusmõõtmistega --- 2 p. Joonlaua massi arvutamine --- 1 p.",,"joonlaud, A4 paber (80 g/m$^2$)",10,toores,"Eksperimendi kogu Ü30, lahendus lk 46",physics-collection/problems-exp/2022-v2g-pe1.tex,problems-exp
2022-v2g-pe2,2022,piirkonnavoor,P,E2,Plastiliin,1,vedelike mehaanika,E,,Konstantin Dukats,Leidke plastiliini tihedus. Vee tihedus on $\rho$ = 1000 kg m$^{-3}$.,,"Määrata plastiliini ruumala sukeldumismeetodil. Valmistada plastiliinist laevuke ja mõõta selle poolt väljatõrjutud vedeliku ruumala (3 p). Tuletada ujumise tingimusest valem plastiliini tiheduse arvutamiseks:

$\rho$p = mp = $\rho$v Vv (3 p) Vp Vp

Tuleb teha vajalikud mõõtmised ja arvutada plastiliini tihedus (3 p). Vastus oleneb plastiliini sordist ja on ca 1,1...1,2 g cm$-$3 (1 p).",,"klaas veega, joonlaud, plastiliin",10,toores,"Eksperimendi kogu Ü31, lahendus lk 46",physics-collection/problems-exp/2022-v2g-pe2.tex,problems-exp
2021-v3g-ge1,2021,lõppvoor,G,E1,Mahlakarp,4,dünaamika,E,,Konstantin Dukatš,Leidke mahlakarbi ja paberilehe vaheline hõõrdetegur. Keelatud on kasutada mistahes kaldpinna põhimõtet.,,"Paneme paberilehe lauale ning selle peale asetame mahlakarbi (alusega a $\times$ a). Kui me lükkame joonlauaga horisontaalselt karbi põhja juurest, siis hakkab karp libisema. Kui me aga lükkame karbi ülemist osa, hakkab karp pöörlema. Mingil kõrgusel h on piirjuht, kus karp nii pöörleb kui ka libiseb. Sellel piirjuhul kehtib nii jõudude kui ka jõumomentide tasakaal. Jõudude tasakaalust saame, et joonlauaga lükkamise jõud F = $\mu$mg. Joonlauaga lükkamisel tekkivat jõumomenti tasakaalustab karbile mõjuva gravitatsioonijõu poolt tekitatud jõumoment:

a F h = mg .

Kombineerides neid võrandeid saame, et a

$\mu$= . 2h

Ühe konkreetse AURA mahlakarbi ja paberilehe jaoks olid mõõtmistulemused järgmised: a = 7,0 cm, h = 11,5 cm ning $\mu$ = 0,30. Kuna mahlakarbid ja paberilehed erinevad vähesel määral, siis hõõrdetegur peaks enamasti olema vahemikus 0,28-- 0,42.",,"üks A4 paberileht, 1L täis mahlakarp, joonlaud",10,toores,"Eksperimendi kogu Ü158, lahendus lk 119",physics-collection/problems-exp/2021-v3g-ge1.tex,problems-exp
2021-v3g-ge2,2021,lõppvoor,G,E2,Majapidamispaber,5,vedelike mehaanika,E,,Jaan Kalda,"Hinnake majapidamispaberi kiudude vahelist keskmist vahekaugust. Kirjeldage võimalikult täpselt oma mõõtmisprotseduuri. Juuresolevalt mikroskoobi abil tehtud fotolt on näha, millised näevad välja majapidamispaberi kiud. Vee pindpinevustegur $\sigma$ = 0,072 N m$^{-1}$.

Pildi autoriõigused: Zephyris, CC BY-SA 3.0, via Wikimedia Commons.
\begin{center}
\includegraphics[width=0.75\linewidth]{2021-v3g-ge2-yl.png}
\\[2pt]{\footnotesize Pildi autoriõigused: Zephyris, CC BY-SA 3.0, via Wikimedia Commons.}
\end{center}
\textit{Vihje:} vedelikupinna kaks mõttelist poolt tõmbavad üksteist jõuga F = $\sigma$l, kus l on mõttelise eraldusjoone pikkus.",,"Lõikame paberist pika riba ja riputame otsapidi vette ning ootame seni, kuni vee mööda paberit ``üles ronimine'' peatub. See võtab üsna kaua, vähemalt paar minutit. Mõõdame märgunud osa kõrguse h mõõdetuna kõrgusena veepinnast, olgu see nt h = 75 mm. Pooride vahekauguse hindamiseks võime kasutada kapillaarrõhu valemit rõhu jaoks kõvera pinna all: paberi märgunud osa ülaservas vees on rõhk atmosfäärirõhust väiksem $\Delta$p = $\rho$gh võrra, kus $\rho$ = 1 g/cm$^3$, selle peab kompenseerima kapillaarrõhk, mis oleks silindrilise toru ja täieliku märgamise puhul 4$\sigma$/d. Suurusjärgulise hindamise puhul võime kasutada seda valemit asendades silindri diameetri d kiudude vahekaugusega. Saame 4$\sigma$/d = $\rho$gh, millest d = 4$\sigma$/$\rho$gh $\approx$ 0,4 mm. Sellega me ülehindasime d väärtust, sest esiteks, vesi ei märga paberikiude täielikult ja teiseks, kiududevahelised augud ei ole silinderjad ning see vähendab kapillaarrõhku.",,"majapidamispaberi leht, anum veega, käärid, joonlaud",14,toores,"Eksperimendi kogu Ü179, lahendus lk 142",physics-collection/problems-exp/2021-v3g-ge2.tex,problems-exp
